Actor/Actress	Movie	Year
Matthew Broderick	The Road to Wellville	1994
Anthony Hopkins	The Road to Wellville	1994
Bridget Fonda	The Road to Wellville	1994
Matthew Broderick	Inspector Gadget	1999
Michelle Trachtenberg	Inspector Gadget	1999
Rupert Everett	Inspector Gadget	1999
Joely Fisher	Inspector Gadget	1999
Matthew Broderick	Max Dugan Returns	1983
Donald Sutherland	Max Dugan Returns	1983
Jason Robards	Max Dugan Returns	1983
Marsha Mason	Max Dugan Returns	1983
Matthew Broderick	The Night We Never Met	1993
Tim Guinee	The Night We Never Met	1993
Jeanne Tripplehorn	The Night We Never Met	1993
Annabella Sciorra	The Night We Never Met	1993
Matthew Broderick	Godzilla	1998
Maria Pitillo	Godzilla	1998
Jean Reno	Godzilla	1998
Matthew Broderick	Lazy Susan	2019
Margo Martindale	Lazy Susan	2019
Allison Janney	Lazy Susan	2019
Sean Hayes	Lazy Susan	2019
Caleigh White	Believers Among Us	2005
Merilee Brasch	Believers Among Us	2005
Matt Marraccini	Believers Among Us	2005
David Cross	Run Ronnie Run	2002
Bruce Taylor	Run Ronnie Run	2002
Leon Lamar	Run Ronnie Run	2002
Bob Odenkirk	Run Ronnie Run	2002
David Cross	Alvin and the Chipmunks	2007
Jason Lee	Alvin and the Chipmunks	2007
Janice Karman	Alvin and the Chipmunks	2007
Ross Bagdasarian Jr.	Alvin and the Chipmunks	2007
David Cross	Small Soldiers	1998
Jay Mohr	Small Soldiers	1998
Kirsten Dunst	Small Soldiers	1998
Gregory Smith	Small Soldiers	1998
David Cross	The Legend of Secret Pass	2019
Zoe Axelrod	The Legend of Secret Pass	2019
Shelley Berman	The Legend of Secret Pass	2019
Michael Chiklis	The Legend of Secret Pass	2019
David Cross	Demoted	2011
Celia Weston	Demoted	2011
Sean Astin	Demoted	2011
Michael Vartan	Demoted	2011
David Cross	The Grand	2007
Cheryl Hines	The Grand	2007
Dennis Farina	The Grand	2007
Woody Harrelson	The Grand	2007
David Cross	Alvin and the Chipmunks: The Squeakquel	2009
Jason Lee	Alvin and the Chipmunks: The Squeakquel	2009
Zachary Levi	Alvin and the Chipmunks: The Squeakquel	2009
Justin Long	Alvin and the Chipmunks: The Squeakquel	2009
David Cross	Joe Frank: Somewhere Out There	2018
Alex Kingston	Warrior Queen	2003
Emily Blunt	Warrior Queen	2003
Leanne Rowe	Warrior Queen	2003
Alex Kingston	Happily Ever After	2016
Alex Kingston	Bukowski	2013
Shannen Doherty	Bukowski	2013
Josh Peck	Bukowski	2013
Camila Morrone	Bukowski	2013
Alex Kingston	Essex Boys	2000
Gareth Milne	Essex Boys	2000
Charlie Creed-Miles	Essex Boys	2000
Sean Bean	Essex Boys	2000
Joel Gretsch	Saving Grace B. Jones	2009
Penelope Ann Miller	Saving Grace B. Jones	2009
Michael Biehn	Saving Grace B. Jones	2009
Tatum O'Neal	Saving Grace B. Jones	2009
Kevin Kline	Wild Wild West	1999
Kenneth Branagh	Wild Wild West	1999
Will Smith	Wild Wild West	1999
Salma Hayek	Wild Wild West	1999
Kevin Kline	Soapdish	1991
Teri Hatcher	Soapdish	1991
Sally Field	Soapdish	1991
Cathy Moriarty	Soapdish	1991
Kevin Kline	Princess Caraboo	1994
Wendy Hughes	Princess Caraboo	1994
Phoebe Cates	Princess Caraboo	1994
Jim Broadbent	Princess Caraboo	1994
Kevin Kline	He Makes Me Feel Like Dancin'	1983
Tom McCaffrey	He Makes Me Feel Like Dancin'	1983
Judy Collins	He Makes Me Feel Like Dancin'	1983
Jacques d'Amboise	He Makes Me Feel Like Dancin'	1983
Kevin Kline	The Ice Storm	1997
Kevin Kline	Silverado	1985
Kevin Costner	Silverado	1985
Scott Glenn	Silverado	1985
Kevin Kline	French Kiss	1995
Timothy Hutton	French Kiss	1995
Jean Reno	French Kiss	1995
Meg Ryan	French Kiss	1995
Kevin Kline	Sophie's Choice	1982
Meryl Streep	Sophie's Choice	1982
Peter MacNicol	Sophie's Choice	1982
Rita Karin	Sophie's Choice	1982
Kevin Kline	The January Man	1989
Harvey Keitel	The January Man	1989
Kevin Kline	Theater of War	2008
Tony Kushner	Theater of War	2008
Meryl Streep	Theater of War	2008
James Purefoy	Photo Finish	2003
Aidan Gillen	Photo Finish	2003
Colette Brown	Photo Finish	2003
Georgina Hale	Photo Finish	2003
James Purefoy	George and the Dragon	2004
James Purefoy	Interlude in Prague	2017
Morfydd Clark	Interlude in Prague	2017
Aneurin Barnard	Interlude in Prague	2017
Samantha Barks	Interlude in Prague	2017
James Purefoy	Fisherman's Friends	2019
Tuppence Middleton	Fisherman's Friends	2019
Daniel Mays	Fisherman's Friends	2019
Noel Clarke	Fisherman's Friends	2019
James Purefoy	Lena: The Bride of Ice	2008
James Purefoy	Jilting Joe	1998
Benjamin Whitrow	Jilting Joe	1998
Geraldine Somerville	Jilting Joe	1998
Patricia Hodge	Jilting Joe	1998
Noah Taylor	The Double	2013
Jesse Eisenberg	The Double	2013
Wallace Shawn	The Double	2013
Mia Wasikowska	The Double	2013
Noah Taylor	Submarine	2010
Craig Roberts	Submarine	2010
Sally Hawkins	Submarine	2010
Noah Taylor	The Escort	1999
Liza Walker	The Escort	1999
Daniel Auteuil	The Escort	1999
Stuart Townsend	The Escort	1999
Noah Taylor	The Nostradamus Kid	1993
Peter Gwynne	The Nostradamus Kid	1993
Arthur Dignam	The Nostradamus Kid	1993
Miranda Otto	The Nostradamus Kid	1993
Noah Taylor	Flirting	1991
Thandie Newton	Flirting	1991
Nicole Kidman	Flirting	1991
Bartholomew Rose	Flirting	1991
Noah Taylor	True Love and Chaos	1997
Miranda Otto	True Love and Chaos	1997
Hugo Weaving	True Love and Chaos	1997
Naveen Andrews	True Love and Chaos	1997
Noah Taylor	Life in the Fast Lane	1998
Fairuza Balk	Life in the Fast Lane	1998
Patrick Dempsey	Life in the Fast Lane	1998
Tea Leoni	Life in the Fast Lane	1998
Stuart Townsend	The Martini Shot	2019
Stuart Townsend	About Adam	2000
Tommy Tiernan	About Adam	2000
Frances O'Connor	About Adam	2000
Kate Hudson	About Adam	2000
Stuart Townsend	Resurrection Man	1998
Brenda Fricker	Resurrection Man	1998
George Shane	Resurrection Man	1998
David Williamson	Resurrection Man	1998
Stuart Townsend	The League of Extraordinary Gentlemen	2003
Jason Flemyng	The League of Extraordinary Gentlemen	2003
Peta Wilson	The League of Extraordinary Gentlemen	2003
Stuart Townsend	Chaos Theory	2008
Ryan Reynolds	Chaos Theory	2008
Stuart Townsend	Trojan Eddie	1996
Richard Harris	Trojan Eddie	1996
Aislin McGuckin	Trojan Eddie	1996
Stephen Rea	Trojan Eddie	1996
Stuart Townsend	Queen of the Damned	2002
Aaliyah	Queen of the Damned	2002
Marguerite Moreau	Queen of the Damned	2002
Vincent Perez	Queen of the Damned	2002
Stuart Townsend	Shooting Fish	1997
Rowena Cooper	Shooting Fish	1997
Dan Futterman	Shooting Fish	1997
Kate Beckinsale	Shooting Fish	1997
Sean McGinley	On a Clear Day	2005
Brenda Blethyn	On a Clear Day	2005
Peter Mullan	On a Clear Day	2005
Billy Boyd	On a Clear Day	2005
Alessandro Nivola	The Art of Self-Defense	2019
Steve Terada	The Art of Self-Defense	2019
Imogen Poots	The Art of Self-Defense	2019
Jesse Eisenberg	The Art of Self-Defense	2019
Alessandro Nivola	Reach the Rock	1998
Karen Sillas	Reach the Rock	1998
Bruce Norris	Reach the Rock	1998
Alessandro Nivola	Best Laid Plans	1999
Josh Brolin	Best Laid Plans	1999
Gene Wolande	Best Laid Plans	1999
Reese Witherspoon	Best Laid Plans	1999
Alessandro Nivola	Face/Off	1997
Joan Allen	Face/Off	1997
John Travolta	Face/Off	1997
Alessandro Nivola	Carolina	2003
Shirley MacLaine	Carolina	2003
Randy Quaid	Carolina	2003
Julia Stiles	Carolina	2003
Alessandro Nivola	I Want You	1998
Labina Mitevska	I Want You	1998
Luka Petrusic	I Want You	1998
Rachel Weisz	I Want You	1998
Alessandro Nivola	$5 a Day	2008
Christopher Walken	$5 a Day	2008
Sharon Stone	$5 a Day	2008
Dean Cain	$5 a Day	2008
Alessandro Nivola	Coco Before Chanel	2009
Benoit Poelvoorde	Coco Before Chanel	2009
Audrey Tautou	Coco Before Chanel	2009
Marie Gillain	Coco Before Chanel	2009
Alessandro Nivola	A Most Violent Year	2014
Jessica Chastain	A Most Violent Year	2014
David Oyelowo	A Most Violent Year	2014
Oscar Isaac	A Most Violent Year	2014
Alessandro Nivola	Goal II: Living the Dream	2007
Kuno Becker	Goal II: Living the Dream	2007
Anna Friel	Goal II: Living the Dream	2007
Stephen Dillane	Goal II: Living the Dream	2007
Daryl Hannah	The Real Blonde	1997
Daryl Hannah	Roxanne	1987
Rick Rossovich	Roxanne	1987
Shelley Duvall	Roxanne	1987
Steve Martin	Roxanne	1987
Daryl Hannah	Memoirs of an Invisible Man	1992
Michael McKean	Memoirs of an Invisible Man	1992
Daryl Hannah	The Carbon Rush	2012
Karine Vanasse	The Carbon Rush	2012
Daryl Hannah	Splash	1984
Tom Hanks	Splash	1984
Eugene Levy	Splash	1984
John Candy	Splash	1984
Daryl Hannah	Ole	2006
Massimo Boldi	Ole	2006
Enzo Salvi	Ole	2006
Vincenzo Salemme	Ole	2006
Daryl Hannah	2047: Sights of Death	2014
Michael Madsen	2047: Sights of Death	2014
Daryl Hannah	Centaur	2016
Sheryl Crow	Centaur	2016
Daryl Hannah	Your American Teen	2012
Jane Velez-Mitchell	Your American Teen	2012
Elizabeth Gould Delmatoff	Your American Teen	2012
Ron Wyden	Your American Teen	2012
Kenneth Branagh	Mary Shelley's Frankenstein	1994
Tom Hulce	Mary Shelley's Frankenstein	1994
Helena Bonham Carter	Mary Shelley's Frankenstein	1994
Robert De Niro	Mary Shelley's Frankenstein	1994
Kenneth Branagh	The Goebbels Experiment	2005
Udo Samel	The Goebbels Experiment	2005
Kenneth Branagh	The Theory of Flight	1998
Holly Aird	The Theory of Flight	1998
Helena Bonham Carter	The Theory of Flight	1998
Gemma Jones	The Theory of Flight	1998
Kenneth Branagh	How to Kill Your Neighbor's Dog	2000
Robin Wright	How to Kill Your Neighbor's Dog	2000
Lynn Redgrave	How to Kill Your Neighbor's Dog	2000
Suzi Hofrichter	How to Kill Your Neighbor's Dog	2000
Kenneth Branagh	Othello	1995
Irene Jacob	Othello	1995
Laurence Fishburne	Othello	1995
Nathaniel Parker	Othello	1995
Robert Downey Jr.	Chances Are	1989
Cybill Shepherd	Chances Are	1989
Mary Stuart Masterson	Chances Are	1989
Ryan O'Neal	Chances Are	1989
Robert Downey Jr.	Iron Man 3	2013
Robert Downey Jr.	Restoration	1995
David Thewlis	Restoration	1995
Polly Walker	Restoration	1995
Robert Downey Jr.	Two Girls and a Guy	1997
Angel David	Two Girls and a Guy	1997
Heather Graham	Two Girls and a Guy	1997
Natasha Gregson Wagner	Two Girls and a Guy	1997
Robert Downey Jr.	The Outsider	2005
Robert Downey Jr.	I Am Steve McQueen	2014
Zoe Bell	I Am Steve McQueen	2014
Kristin Kreuk	I Am Steve McQueen	2014
Robert Downey Jr.	The Avengers Assemble Premiere	2012
Robert Downey Jr.	Only You	1994
Marisa Tomei	Only You	1994
Bonnie Hunt	Only You	1994
Joaquim de Almeida	Only You	1994
Robert Downey Jr.	The Avengers	2012
Chris Evans	The Avengers	2012
Jeremy Renner	The Avengers	2012
Scarlett Johansson	The Avengers	2012
Robert Downey Jr.	Eros	2004
Chen Chang	Eros	2004
Alan Arkin	Eros	2004
Li Gong	Eros	2004
Pierre Knoesen	You Must Be Joking Too!	1987
Eddie Eckstein	You Must Be Joking Too!	1987
Cobus Rossouw	You Must Be Joking Too!	1987
Leon Schuster	You Must Be Joking Too!	1987
Oliver Platt	Gun Shy	2000
Sandra Bullock	Gun Shy	2000
Jose Zuniga	Gun Shy	2000
Liam Neeson	Gun Shy	2000
Oliver Platt	Zig Zag	2002
Wesley Snipes	Zig Zag	2002
Oliver Platt	Year One	2009
Jack Black	Year One	2009
Olivia Wilde	Year One	2009
Michael Cera	Year One	2009
Oliver Platt	Ready to Rumble	2000
David Arquette	Ready to Rumble	2000
Bill Goldberg	Ready to Rumble	2000
Scott Caan	Ready to Rumble	2000
Robin Williams	Certifiably Jonathan	2007
Jonathan Winters	Certifiably Jonathan	2007
Nora Dunn	Certifiably Jonathan	2007
Howie Mandel	Certifiably Jonathan	2007
Robin Williams	Good Will Hunting	1997
Ben Affleck	Good Will Hunting	1997
Matt Damon	Good Will Hunting	1997
Stellan Skarsgard	Good Will Hunting	1997
Robin Williams	What Dreams May Come	1998
Annabella Sciorra	What Dreams May Come	1998
Max von Sydow	What Dreams May Come	1998
Cuba Gooding Jr.	What Dreams May Come	1998
Robin Williams	Night at the Museum: Secret of the Tomb	2014
Owen Wilson	Night at the Museum: Secret of the Tomb	2014
Ben Stiller	Night at the Museum: Secret of the Tomb	2014
Dick Van Dyke	Night at the Museum: Secret of the Tomb	2014
Robin Williams	One Hour Photo	2002
Dylan Smith	One Hour Photo	2002
Michael Vartan	One Hour Photo	2002
Sam Neill	Why Anzac with Sam Neill	2015
Sam Neill	The Adventurer: The Curse of the Midas Box	2013
Aneurin Barnard	The Adventurer: The Curse of the Midas Box	2013
Lena Headey	The Adventurer: The Curse of the Midas Box	2013
Michael Sheen	The Adventurer: The Curse of the Midas Box	2013
Sam Neill	Blackbird	2019
Bex Taylor-Klaus	Blackbird	2019
Kate Winslet	Blackbird	2019
Sam Neill	Dead Calm	1989
Nicole Kidman	Dead Calm	1989
Rod Mullinar	Dead Calm	1989
Billy Zane	Dead Calm	1989
Keanu Reeves	Side by Side Extra: Volume Five	2014
David Tattersall	Side by Side Extra: Volume Five	2014
Michael Ballhaus	Side by Side Extra: Volume Five	2014
Martin Scorsese	Side by Side Extra: Volume Five	2014
Keanu Reeves	Side by Side Extra: Volume Two	2014
Wally Pfister	Side by Side Extra: Volume Two	2014
Richard Linklater	Side by Side Extra: Volume Two	2014
Robert Rodriguez	Side by Side Extra: Volume Two	2014
Keanu Reeves	Replicas	2018
Thomas Middleditch	Replicas	2018
John Ortiz	Replicas	2018
Alice Eve	Replicas	2018
Keanu Reeves	Speed	1994
Dennis Hopper	Speed	1994
Sandra Bullock	Speed	1994
Joe Morton	Speed	1994
Keanu Reeves	The Night Before	1988
Lori Loughlin	The Night Before	1988
Trinidad Silva	The Night Before	1988
Theresa Saldana	The Night Before	1988
Keanu Reeves	Little Buddha	1993
Bridget Fonda	Little Buddha	1993
Ruocheng Ying	Little Buddha	1993
Chris Isaak	Little Buddha	1993
Keanu Reeves	The Matrix	1999
Hugo Weaving	The Matrix	1999
Carrie-Anne Moss	The Matrix	1999
Laurence Fishburne	The Matrix	1999
Keanu Reeves	The Matrix Reloaded	2003
Hugo Weaving	The Matrix Reloaded	2003
Carrie-Anne Moss	The Matrix Reloaded	2003
Laurence Fishburne	The Matrix Reloaded	2003
Keanu Reeves	Flying	1986
Rita Tushingham	Flying	1986
Olivia d'Abo	Flying	1986
Jessica Steen	Flying	1986
Winona Ryder	Black Swan	2010
Natalie Portman	Black Swan	2010
Mila Kunis	Black Swan	2010
Vincent Cassel	Black Swan	2010
Winona Ryder	Lost Souls	2000
Sarah Wynter	Lost Souls	2000
Ben Chaplin	Lost Souls	2000
Philip Baker Hall	Lost Souls	2000
Winona Ryder	The Private Lives of Pippa Lee	2009
Mike Binder	The Private Lives of Pippa Lee	2009
Winona Ryder	Night on Earth	1991
Gena Rowlands	Night on Earth	1991
Lisanne Falk	Night on Earth	1991
Alan Randolph Scott	Night on Earth	1991
Winona Ryder	The Ten	2007
Paul Rudd	The Ten	2007
Jessica Alba	The Ten	2007
Adam Brody	The Ten	2007
Winona Ryder	Frankenweenie	2012
Winona Ryder	The Iceman	2012
Chris Evans	The Iceman	2012
James Franco	The Iceman	2012
Michael Shannon	The Iceman	2012
Anthony Hopkins	Bobby	2006
Nathalie Madore	Bobby	2006
Felixe Ross	Bobby	2006
Harry Belafonte	Bobby	2006
Anthony Hopkins	The Lion in Winter	1968
Katharine Hepburn	The Lion in Winter	1968
Peter O'Toole	The Lion in Winter	1968
John Castle	The Lion in Winter	1968
Anthony Hopkins	The Dawning	1988
Trevor Howard	The Dawning	1988
Jean Simmons	The Dawning	1988
Anthony Hopkins	The World's Fastest Indian	2005
Anthony Hopkins	Solace	2015
Abbie Cornish	Solace	2015
Jeffrey Dean Morgan	Solace	2015
Colin Farrell	Solace	2015
Anthony Hopkins	The Mask of Zorro	1998
Antonio Banderas	The Mask of Zorro	1998
Catherine Zeta-Jones	The Mask of Zorro	1998
Jose Maria de Tavira	The Mask of Zorro	1998
Anthony Hopkins	Misconduct	2016
Anthony Hopkins	The Human Stain	2003
Nicole Kidman	The Human Stain	2003
Gary Sinise	The Human Stain	2003
Ed Harris	The Human Stain	2003
Tim Roth	Backsliding	1992
Jim Holt	Backsliding	1992
Ross McGregor	Backsliding	1992
Odile Le Clezio	Backsliding	1992
Tim Roth	Chronic	2015
Elizabeth Tulloch	Chronic	2015
Sarah Sutherland	Chronic	2015
David Dastmalchian	Chronic	2015
Tim Roth	The Incredible Hulk	2008
Liv Tyler	The Incredible Hulk	2008
Edward Norton	The Incredible Hulk	2008
William Hurt	The Incredible Hulk	2008
Tim Roth	Bodies, Rest & Motion	1993
Eric Stoltz	Bodies, Rest & Motion	1993
Bridget Fonda	Bodies, Rest & Motion	1993
Phoebe Cates	Bodies, Rest & Motion	1993
Tim Roth	Hoodlum	1997
Andy Garcia	Hoodlum	1997
Laurence Fishburne	Hoodlum	1997
Vanessa Williams	Hoodlum	1997
Richard Dreyfuss	Signs of the Time	2008
Bob Feller	Signs of the Time	2008
Brooks Robinson	Signs of the Time	2008
Earl Weaver	Signs of the Time	2008
Richard Dreyfuss	Krippendorf's Tribe	1998
Natasha Lyonne	Krippendorf's Tribe	1998
Jenna Elfman	Krippendorf's Tribe	1998
Gregory Smith	Krippendorf's Tribe	1998
Richard Dreyfuss	Killing Winston Jones	2019
Jon Heder	Killing Winston Jones	2019
Danny Glover	Killing Winston Jones	2019
Danny Masterson	Killing Winston Jones	2019
Richard Dreyfuss	Whose Life Is It Anyway?	1981
Christine Lahti	Whose Life Is It Anyway?	1981
John Cassavetes	Whose Life Is It Anyway?	1981
Bob Balaban	Whose Life Is It Anyway?	1981
Richard Dreyfuss	American Graffiti	1973
Ron Howard	American Graffiti	1973
Paul Le Mat	American Graffiti	1973
Charles Martin Smith	American Graffiti	1973
Richard Dreyfuss	Nuts	1987
Karl Malden	Nuts	1987
Maureen Stapleton	Nuts	1987
Barbra Streisand	Nuts	1987
Richard Dreyfuss	Piranha 3D	2010
Ving Rhames	Piranha 3D	2010
Elisabeth Shue	Piranha 3D	2010
Jerry O'Connell	Piranha 3D	2010
Richard Dreyfuss	Always	1989
John Goodman	Always	1989
Holly Hunter	Always	1989
Brad Johnson	Always	1989
Richard Dreyfuss	Zipper	2015
Patrick Wilson	Zipper	2015
Ray Winstone	Zipper	2015
Lena Headey	Zipper	2015
Lily James	Pride and Prejudice and Zombies	2016
Bella Heathcote	Pride and Prejudice and Zombies	2016
Sam Riley	Pride and Prejudice and Zombies	2016
Jack Huston	Pride and Prejudice and Zombies	2016
Lily James	Little Woods	2018
Lily James	Mamma Mia! Here We Go Again	2018
Meryl Streep	Mamma Mia! Here We Go Again	2018
Cher	Mamma Mia! Here We Go Again	2018
Amanda Seyfried	Mamma Mia! Here We Go Again	2018
Lily James	Cinderella	2015
Helena Bonham Carter	Cinderella	2015
Lily James	National Theatre Live: All About Eve	2019
Gillian Anderson	National Theatre Live: All About Eve	2019
Monica Dolan	National Theatre Live: All About Eve	2019
Rhashan Stone	National Theatre Live: All About Eve	2019
Julian Ovenden	National Theatre Live: All About Eve	2019
Sheila Reid	National Theatre Live: All About Eve	2019
Ian Drysdale	National Theatre Live: All About Eve	2019
Stanley Townsend	National Theatre Live: All About Eve	2019
Lily James	Yesterday	2019
James Corden	Yesterday	2019
Ana de Armas	Yesterday	2019
Kate McKinnon	Yesterday	2019
Lily James	The Exception	2016
Lois Alessandra	The Exception	2016
Jai Courtney	The Exception	2016
Christopher Plummer	The Exception	2016
Lily James	Broken	2012
Nicholas B. York	Broken	2012
Charlie Booty	Broken	2012
S.R. Stevens	Broken	2012
Gian Carlo Bono	Broken	2012
Karl van Allen	Broken	2012
Ben Mendelsohn	Nirvana Street Murder	1990
Kristin Scott Thomas	Le bal du gouverneur	1990
Laurent Grevill	Le bal du gouverneur	1990
Didier Flamand	Le bal du gouverneur	1990
Jacques Sereys	Le bal du gouverneur	1990
Kristin Scott Thomas	In the House	2012
Ernst Umhauer	In the House	2012
Fabrice Luchini	In the House	2012
Vincent Schmitt	In the House	2012
Kristin Scott Thomas	Force majeure	1989
Alan Bates	Force majeure	1989
Francois Cluzet	Force majeure	1989
Patrick Bruel	Force majeure	1989
Kristin Scott Thomas	Sarah's Key	2010
Frederic Pierrot	Sarah's Key	2010
Melusine Mayance	Sarah's Key	2010
Niels Arestrup	Sarah's Key	2010
Kristin Scott Thomas	Salmon Fishing in the Yemen	2011
Amr Waked	Salmon Fishing in the Yemen	2011
Ewan McGregor	Salmon Fishing in the Yemen	2011
Kristin Scott Thomas	Keeping Mum	2005
Maggie Smith	Keeping Mum	2005
Kristin Scott Thomas	The Heir Apparent: Largo Winch	2008
Predrag 'Miki' Manojlovic	The Heir Apparent: Largo Winch	2008
Melanie Thierry	The Heir Apparent: Largo Winch	2008
Tomer Sisley	The Heir Apparent: Largo Winch	2008
Kristin Scott Thomas	Up at the Villa	2000
Sean Penn	Up at the Villa	2000
James Fox	Up at the Villa	2000
Emily Tennant	Poe: Last Days of the Raven	2008
Brent Fidler	Poe: Last Days of the Raven	2008
Richard Keats	Poe: Last Days of the Raven	2008
Mackenzie Gray	Poe: Last Days of the Raven	2008
Vinnie Jones	Throwdown	2014
Danny Trejo	Throwdown	2014
Jake Croker	The Lonely Light of Home	2016
Casey Manderson	The Lonely Light of Home	2016
Paul Bae	The Lonely Light of Home	2016
Valerie Tian	The Lonely Light of Home	2016
Stephen Dorff	Bucky Larson: Born to Be a Star	2011
Christina Ricci	Bucky Larson: Born to Be a Star	2011
Don Johnson	Bucky Larson: Born to Be a Star	2011
Nick Swardson	Bucky Larson: Born to Be a Star	2011
Stephen Dorff	Entropy	1999
Lauren Holly	Entropy	1999
Judith Godreche	Entropy	1999
Kelly Macdonald	Entropy	1999
Stephen Dorff	Carjacked	2011
Connor Hill	Carjacked	2011
Stephen Dorff	Botched	2007
Alan Smyth	Botched	2007
Sean Pertwee	Botched	2007
David Heap	Botched	2007
Stephen Dorff	Backbeat	1994
Sheryl Lee	Backbeat	1994
Stephen Dorff	Brake	2012
JR Bourne	Brake	2012
Chyler Leigh	Brake	2012
Tom Berenger	Brake	2012
Stephen Dorff	The Motel Life	2012
Emile Hirsch	The Motel Life	2012
Nancy Youngblut	The Motel Life	2012
Doc Divecchio	The Motel Life	2012
Frank C. Turner	A War Story	1981
David Edney	A War Story	1981
Doug Kier	A War Story	1981
Donald Sutherland	A War Story	1981
Frank C. Turner	Family Reunion	1988
David Eisner	Family Reunion	1988
Rebecca Jenkins	Family Reunion	1988
Stevie Vallance	Family Reunion	1988
Val Kilmer	The Prince of Egypt	1998
Sandra Bullock	The Prince of Egypt	1998
Ralph Fiennes	The Prince of Egypt	1998
Michelle Pfeiffer	The Prince of Egypt	1998
Val Kilmer	Wings of Courage	1995
Tom Hulce	Wings of Courage	1995
Elizabeth McGovern	Wings of Courage	1995
Craig Sheffer	Wings of Courage	1995
Sara Downing	Burning Annie	2004
Gary Lundy	Burning Annie	2004
Kim Murphy	Burning Annie	2004
Brian Klugman	Burning Annie	2004
Sara Downing	The Grift	2008
Max Kasch	The Grift	2008
Maury Chaykin	The Grift	2008
John Savage	The Grift	2008
Sara Downing	Rats	2003
Michael Zelniker	Rats	2003
Amy Parks	Rats	2003
Vincent Laresca	Forever Mine	1999
Ray Liotta	Forever Mine	1999
Vincent Laresca	Empire	2002
Denise Richards	Empire	2002
Peter Sarsgaard	Empire	2002
John Leguizamo	Empire	2002
Robert Loggia	Snapshot	2014
Angela Gots	Snapshot	2014
Angela Little	Snapshot	2014
Zach McGowan	Snapshot	2014
Robert Loggia	Flypaper	1999
John C. McGinley	Flypaper	1999
Craig Sheffer	Flypaper	1999
Sadie Frost	Flypaper	1999
Robert Loggia	Jagged Edge	1985
Peter Coyote	Jagged Edge	1985
Jeff Bridges	Jagged Edge	1985
Robert Loggia	Psycho II	1983
Robert Loggia	Gaby: A True Story	1987
Selma Blair	Down to You	2000
Selma Blair	Dark Horse	2011
Christopher Walken	Dark Horse	2011
Jordan Gelber	Dark Horse	2011
Selma Blair	A Dirty Shame	2004
Tracey Ullman	A Dirty Shame	2004
Selma Blair	Purple Violets	2007
Selma Blair	The Broccoli Theory	1996
Scott Schiaffo	The Broccoli Theory	1996
Billy Hine	The Broccoli Theory	1996
Steve Jasgur	The Broccoli Theory	1996
Selma Blair	Strong Island Boys	1997
Herbert Russell	Strong Island Boys	1997
Tommy J. Michaels	Strong Island Boys	1997
Selma Blair	Kill Me Later	2001
Max Beesley	Kill Me Later	2001
Lochlyn Munro	Kill Me Later	2001
O'Neal Compton	Kill Me Later	2001
Selma Blair	My Mom's New Boyfriend	2008
Antonio Banderas	My Mom's New Boyfriend	2008
Colin Hanks	My Mom's New Boyfriend	2008
Meg Ryan	My Mom's New Boyfriend	2008
Selma Blair	Cruel Intentions	1999
Reese Witherspoon	Cruel Intentions	1999
Sarah Michelle Gellar	Cruel Intentions	1999
Ryan Phillippe	Cruel Intentions	1999
Selma Blair	A Guy Thing	2003
Jason Lee	A Guy Thing	2003
Julia Stiles	A Guy Thing	2003
James Brolin	A Guy Thing	2003
Colm Feore	The Herd	1998
Doug Lennox	The Herd	1998
David Hemblen	The Herd	1998
James Allodi	The Herd	1998
Colm Feore	Six Reasons Why	2008
Dan Wooster	Six Reasons Why	2008
Mads Koudal	Six Reasons Why	2008
Christopher Harrison	Six Reasons Why	2008
Colm Feore	Louisbourg Under Siege	1997
Colm Feore	Painkillers	2015
Colm Feore	The Prodigy	2019
Peter Mooney	The Prodigy	2019
Taylor Schilling	The Prodigy	2019
Jackson Robert Scott	The Prodigy	2019
Colm Feore	Intervention	2007
Charles Dance	Intervention	2007
Gary Farmer	Intervention	2007
Donna D'Errico	Intervention	2007
Colm Feore	A Perfect Son	2000
Chandra West	A Perfect Son	2000
Kevin Costner	JFK	1991
Walter Matthau	JFK	1991
Jack Lemmon	JFK	1991
Kevin Costner	3 Days to Kill	2014
Hailee Steinfeld	3 Days to Kill	2014
Amber Heard	3 Days to Kill	2014
Connie Nielsen	3 Days to Kill	2014
Kevin Costner	Laffit: All About Winning	2006
Laffit Pincay Jr.	Laffit: All About Winning	2006
Kevin Costner	Robin Hood: Prince of Thieves	1991
Morgan Freeman	Robin Hood: Prince of Thieves	1991
Mary Elizabeth Mastrantonio	Robin Hood: Prince of Thieves	1991
Kurt Russell	Dreamer: Inspired by a True Story	2005
Kris Kristofferson	Dreamer: Inspired by a True Story	2005
Dakota Fanning	Dreamer: Inspired by a True Story	2005
Oded Fehr	Dreamer: Inspired by a True Story	2005
Kurt Russell	Miracle	2004
Nathan West	Miracle	2004
Noah Emmerich	Miracle	2004
Patricia Clarkson	Miracle	2004
Kurt Russell	Death Proof	2007
Vanessa Ferlito	Death Proof	2007
Zoe Bell	Death Proof	2007
Kurt Russell	Swing Shift	1984
Goldie Hawn	Swing Shift	1984
Christine Lahti	Swing Shift	1984
Kurt Russell	Guns of Diablo	1964
Jan Merlin	Guns of Diablo	1964
Kurt Russell	Dark Blue	2002
Ving Rhames	Dark Blue	2002
Scott Speedman	Dark Blue	2002
